Unnamed: 0,_time,_value,_field,_measurement
,2022-12-15T14:53:15Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:53:35Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:53:55Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:54:15Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:54:35Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:54:55Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:55:15Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:55:35Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:55:55Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:56:15Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:56:35Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:56:55Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:57:15Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:57:35Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:57:56Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:58:15Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:58:35Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:58:55Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:59:15Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:59:35Z,20.0,value,realIstTempKaltWasOben
,2022-12-15T14:59:55Z,20.0,value,realIstTempKaltWasOben
