Unnamed: 0,_time,_value,_field,_measurement
,2022-12-14T14:21:00Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T14:36:17Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T14:40:41Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T14:45:41Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T14:50:41Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T14:56:01Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T15:01:01Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T15:06:01Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T15:13:43Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T16:38:33Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T16:43:33Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T16:48:33Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T16:53:33Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T16:58:33Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T17:03:33Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T17:08:33Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T17:13:33Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T17:18:33Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T17:23:33Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T17:28:33Z,18,value,greal_VorlaufTempKennlinie_K
,2022-12-14T17:33:33Z,18,value,greal_VorlaufTempKennlinie_K
