Unnamed: 0,_time,_value,_field,_measurement
,2022-12-14T13:46:49Z,0,value,TimerRuecklaufAltbau
,2022-12-14T14:04:48Z,0,value,TimerRuecklaufAltbau
,2022-12-14T14:09:48Z,36760,value,TimerRuecklaufAltbau
,2022-12-14T14:14:48Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T14:21:00Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T14:30:52Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T14:40:41Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T14:45:41Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T14:50:41Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T14:56:01Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T15:01:01Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T15:06:01Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T15:13:43Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T15:22:59Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T15:27:58Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T15:39:22Z,36540,value,TimerRuecklaufAltbau
,2022-12-14T15:47:14Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T15:52:14Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T16:02:38Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T16:07:38Z,300000,value,TimerRuecklaufAltbau
,2022-12-14T16:12:38Z,300000,value,TimerRuecklaufAltbau
